No,Journal,n,cites,h5,h5med,IF,IF5,IM,JCI,CS,SNIP,SJR
28,CONSERV BIOL,215,25284,64,86,6.56,7.838,2.209,1.57,9.7,2.096,2.2
29,CONSERV GEN,90,4547,28,40,2.538,2.32,0.711,0.62,3.9,0.955,0.826
30,CONSERV LETT,81,6145,60,82,8.105,8.692,2.716,2.1,17.7,2.776,3.153
31,CONSERV PHYSIOL,123,1949,31,39,3.079,3.668,0.61,0.76,3.7,1.054,0.942
32,CONSERV SCI PRAC,181,489,16,22,3.233,3.437,0.646,0.72,NA,NA,NA
33,CONSERV SOC,NA,NA,24,38,NA,NA,NA,NA,3.9,1.581,1.04
35,CORAL REEFS,164,8652,36,54,3.902,3.88,1.244,1.49,5.8,1.051,1.287
36,CURR BIOL,513,78289,116,157,10.834,11.713,3.567,1.96,12.4,2.504,3.822
37,CURR OP ENV SUST,82,6722,58,80,6.984,7.609,2.012,0.63,11.7,2.015,2.029
38,DIVERS DISTRIB,171,10980,47,65,5.139,45.504,0.924,1.35,7.1,1.497,1.918
39,ECOGRAPHY,201,15952,62,92,5.992,7.184,1.647,1.87,11.3,2.088,2.973
40,ECOL APPL,209,24246,56,72,4.657,5.412,1.526,1.2,7.8,1.499,1.864
41,ECOL COMPLEX,48,2150,22,33,1.882,2.271,0.292,0.55,3.5,0.969,0.537
42,ECOL EVOL,1207,18844,60,75,2.912,3.271,0.502,0.71,4.1,1.101,1.17
43,ECOL INDIC,1066,32205,94,126,4.958,5.846,1.549,1.25,7.5,1.644,1.315
44,ECOL LETT,213,41215,82,110,9.492,11.721,2.559,2.52,17.9,4.231,6.852
45,ECOL MANAGE RESTOR,33,888,19,25,2.241,2.071,0.364,0.41,2.1,0.616,0.472
46,ECOL MODEL,279,22498,48,60,2.974,3.264,0.821,0.81,4.9,1.095,0.876
47,ECOL MONOGR,40,13458,44,67,10.315,11.193,1.55,2.58,14.8,3.039,4.254
48,ECOL RES,127,4177,23,32,1.917,2.095,0.677,0.55,1.3,0.518,0.34
49,ECOL SOC,128,13955,66,88,4.403,5.275,0.773,1.07,7.2,1.501,1.528
50,ECOLOGY,314,72370,59,79,5.499,6.001,1.36,1.44,7.3,1.611,2.144
51,ECOSPHERE,306,10222,48,62,3.171,3.832,0.516,0.87,5,1.081,1.255
52,ECOSYSTEMS,199,11402,44,56,4.217,4.766,1.146,1.3,7.5,1.31,1.643
53,eLIFE,1932,68113,137,182,8.14,9.056,1.92,2.31,10.6,1.758,5.879
54,EMU,39,1346,19,29,1.831,1.66,0.154,1.17,2.6,0.919,0.668
55,ENDANG SP RES,82,3021,29,44,2.029,2.573,0.598,0.63,4.7,1.049,0.964
60,ENVIRON CONSERV,40,4299,87,121,3.012,3.283,0.45,0.61,5,1.268,1.041
61,ENVIRON HEALTH PERSP,131,48245,87,121,9.031,10.776,1.702,2.4,15.4,2.22,2.257
62,ENVIRON RES LETT,835,27709,99,137,6.793,7.801,1.048,1.36,8.6,1.906,2.37
63,EUR J WILDL RES,100,2810,22,28,1.983,2.038,0.52,0.74,2.6,0.87,0.637
64,FISH FISH,104,6316,55,79,7.218,8.935,1.567,2.75,12,2.853,2.747
65,FISH MANAG ECOL,77,2020,21,34,1.894,2.192,0.584,0.79,3,0.918,0.693
66,FISH RES,276,11049,41,50,2.422,2.594,0.786,1.02,4.3,1.096,1.077
67,FISHERIES,49,2835,27,38,2.939,3.462,0.633,1.07,2.6,0.989,0.725
68,FOR ECOL MANAG,682,42557,61,76,3.558,4.039,0.997,1.6,5.8,1.382,1.288
69,FORESTS,1352,10347,44,52,2.633,2.804,0.686,1.1,3.3,0.953,0.676
70,FRESHW BIOL,226,17185,44,61,3.809,4.221,1.093,1.25,6.1,1.359,1.297
71,FRONT ECOL ENVIRON,60,13600,59,103,11.123,13.939,3.183,1.86,14.6,2.877,3.918
72,FRONT ECOL EVOL,423,4858,41,58,4.171,3.907,0.697,0.87,3.6,1.196,1.317
73,FRONT MAR SCI,1151,11878,68,88,4.912,5.125,0.806,1.09,5,1.437,1.558
74,FUNCT ECOL,263,21204,62,81,5.608,6.749,1.54,1.44,8.8,1.697,2.272
75,GLOBAL CHANGE BIOL,583,57192,112,143,10.863,11.716,2.909,2.55,15.5,2.714,4.146
76,GLOBAL ECOL BIOGEOGR,210,16318,58,91,7.144,8.073,1.39,1.94,10,2,3.164
77,GLOBAL PLANET CHANGE,204,13351,52,69,5.114,5.838,1.181,1.41,7.8,1.66,1.706
79,HYDROBIOLOGIA,381,29566,44,61,2.694,2.781,0.898,1.03,5.1,1.058,0.843
80,IBIS,156,5364,26,32,2.517,2.427,1.051,1.77,4,1.078,0.933
81,ICES J MAR SCI,260,13985,54,73,3.593,4.037,1.515,1.31,5.8,1.309,1.348
82,INSECT CONSERV DIV,81,1.815,28,40,3.182,2.949,1.827,1.23,5.1,1.101,1.061
85,iSCIENCE,1079,5235,39,53,5.458,5.458,1.171,1.02,3.4,1.156,1.805
86,J ANIM ECOL,289,20395,50,64,5.091,5.537,1.851,2.16,7,1.604,2.134
87,J APPL ECOL,278,25439,72,99,6.528,7.266,1.187,1.7,10.3,2.09,2.503
88,J BIOGEOGR,275,19316,48,65,4.324,4.529,1.211,1.24,7.1,1.424,1.7
89,J ECOL,326,24974,60,85,6.256,7.125,1.331,1.93,9.7,1.819,2.452
90,J EXP BIOL,491,40334,57,76,3.312,3.828,1.128,0.9,5.2,1.188,1.367
91,J EXP MAR BIOL ECOL,143,17948,30,45,2.171,2.749,0.776,0.82,4.8,1.03,0.965
93,J INSECT CONSERV,94,2719,25,28,2.262,2.249,0.447,0.81,3,0.868,0.666
94,J NAT CONSERV,121,2151,28,41,2.831,2.858,0.521,0.73,3.8,1.239,0.819
96,J PLANT ECOL,90,2280,27,36,1.774,2.547,0.378,0.79,3.9,0.751,0.718
100,J VEG SCI,147,9842,35,48,2.685,3.641,0.85,1,4.6,1.044,1.1
101,J WILDL MANAG,164,12822,30,36,2.469,2.52,0.72,1.06,3.8,1.195,0.94
105,LANDSCAPE ECOL,225,11520,54,72,3.848,4.845,0.929,1.07,6,1.292,1.304
106,LIMNOL OCEANOGR,338,33931,52,67,4.745,5.203,1.402,1.67,7.4,1.581,1.7
107,MAR BIOL,165,20656,33,45,2.573,2.778,0.564,0.89,4,0.965,0.93
108,MAR ECOL PROG SER,370,44961,43,47,2.824,3.09,0.708,0.96,4.4,0.958,1.151
109,MAR FRESHW RES,228,6512,33,45,2.07,2.162,0.882,0.77,3.6,0.832,0.693
110,MAR POLLUT BULL,1003,48810,97,140,5.553,5.907,1.174,1.44,7.9,1.566,1.548
111,METHODS ECOL EVOL,216,19614,84,123,7.781,10.827,1.315,2.02,11.7,2.489,3.425
112,MOLEC ECOL,419,44625,81,116,6.185,6.801,1.2,1.43,9.7,1.516,2.619
113,MOLEC ECOL RESOUR,202,13390,69,97,7.09,8.745,2.178,1.77,11.6,2.066,2.96
114,NAT CLIM CHANGE,155,36321,144,222,25.29,28.803,6.806,5.06,31.3,5.732,6.749
115,NAT COMMUN,5997,453215,287,389,14.919,15.805,3.233,2.66,20,3.055,5.559
116,NAT ECOL EVOL,192,10794,91,129,15.46,15.974,4.823,3.43,21.1,3.554,5.822
118,NAT GEN,140,113066,184,273,38.33,36.431,6.279,8.78,50.5,6.722,18.861
119,NAT HUM BEHAV,145,5549,84,124,13.663,15.294,7.655,2.8,13.1,4.733,3.434
120,NAT SUSTAIN,160,4664,64,105,19.346,19.346,4.3,3.22,15.8,4.912,4.514
121,NATURE,1076,915925,414,607,49.962,54.637,24.651,8.7,56.9,9.249,15.993
122,NEOBIOTA,78,944,21,48,3.684,3.863,2.269,0.9,3.9,1.306,0.881
123,NEW PHYTOL,888,72708,104,144,10.151,10.475,2.9,2.68,14.2,2.413,3.742
124,OECOLOGIA,248,37835,45,51,3.225,3.665,0.69,0.87,4.9,1.135,1.328
125,OIKOS,190,25814,45,67,3.903,4.34,0.995,1.13,6.3,1.263,1.672
126,ONE EARTH,NA,NA,23,34,NA,NA,NA,NA,1,2.287,0
127,ORYX,103,4137,31,46,2.693,3.129,1.621,0.76,4.2,1.061,0.785
128,P NATL ACAD SCI USA,3633,799058,245,337,11.205,12.291,3.164,2.04,16.2,2.904,5.011
129,P ROY SOC B-BIOL SCI,594,64652,77,103,5.349,5.977,1.015,1.3,7.5,1.688,2.342
133,PEERJ,2285,29906,76,112,2.984,3.369,0.488,0.51,3.8,1.04,0.927
134,PHIL TRANS R SOC B,406,56921,100,130,6.237,7.828,2.887,1.47,10.9,1.914,2.753
135,PLANT ECOL,115,6906,24,34,1.854,2.194,0.409,0.6,2.9,0.763,0.642
136,PLANT ECOL DIVER,27,1096,17,23,2.606,2.233,0.519,0.47,2.7,0.646,0.644
137,PLOS BIOL,347,39598,100,133,8.029,9.57,2.101,1.96,11,2.005,4.127
138,PLOS GEN,532,52461,83,109,5.917,6.284,1,1.43,9,1.457,3.587
139,PLOS ONE,16067,857723,185,246,3.24,3.788,0.619,0.57,5.3,1.349,0.99
140,POP ECOL,41,1520,18,24,2.1,2.25,1.146,0.49,3.1,0.867,0.819
141,PSYCHOL BULL,37,66720,83,176,17.737,28.705,4.946,6.28,38.8,11.507,10.737
145,R SOC OPEN SCI,642,11155,65,100,2.963,3.44,0.665,0.53,4.9,1.187,0.84
146,RENEW ENERG,2447,72390,117,157,8.001,7.435,3.008,1.32,10.8,2.381,1.825
147,RENEW SUST ENERG REV,642,132560,225,294,14.982,14.916,3.296,1.05,30.5,4.684,3.522
149,RESTOR ECOL,280,7521,40,69,3.404,3.698,1.111,0.88,4.9,1.356,1.214
150,RIVER RES APPL,225,5338,32,42,2.443,2.516,0.8,0.61,3.5,0.926,0.679
151,SCI ADV,2102,65205,174,250,14.136,16.446,2.56,2.71,16.6,3.445,5.928
152,SCI REP,21222,541615,200,262,4.379,5.133,0.783,0.8,7.1,1.377,1.24
153,SCI TOTAL ENVIRON,6860,210143,180,244,7.963,7.842,2.786,1.66,10.5,2.015,1.795
154,SCIENCE,844,814971,391,564,47.728,51.433,23.876,7.63,46.8,7.789,12.556
156,THEOR ECOL,59,828,19,24,1.432,1.62,0.508,0.44,2.3,0.617,0.642
157,TRENDS ECOL EVOL,84,44127,90,125,17.712,20.691,5.452,1.73,22.3,4.319,6.476
158,TROP CONSERV SCI,52,1395,24,35,1.968,2.175,0.385,0.43,3.3,1.075,0.718
159,WILDL RES,101,3874,22,32,2.511,2.79,0.822,0.81,3,1.099,0.81
